,Content,Predicted Category,Actual Category,LLM Output
9962,ISDERA or Ingenieurbüro für Styling DEsign und RAcing (Engineering company for Styling Design and Racing) is a privately run automaker based in a small workshop in Hildesheim Germany. The company was formerly based in Leonberg Germany. Each high-performance sports car is hand-built by a small team of craftsmen and the only way to purchase an Isdera is to call the CEO directly. Each vehicle is custom built for its buyer and a waiting period of six months is to be expected.,MeanOfTransportation,Company,Mean
9993,Schoology.com is a social network for K-12 schools and higher education institutions focused on collaboration that allows users to create manage and share academic content. Also known as a learning management system (LMS) or course management system (CMS) the cloud-based platform provides tools needed to manage an online classroom.Visually and functionally similar to Facebook the service includes attendance records online gradebook tests and quizzes and homework dropboxes.,EducationalInstitution,Company,Educ
10018,The Concave football boot is a special boot designed to increase the 'sweet spot' (the area of the boot that makes contact with the ball) by approximately four times. It has evolved the games of Australian Football League Soccer and Rugby League. Independent testing at Deakin University has shown the boot increases power by between 8-15% and provides increased accuracy with a smaller margin of error. Concave also designed this new boot to protect the metatarsal bones.,Athlete,Company,Ath
10147,Student Volunteer Campus Community (abbreviated SVCC and formerly SVCC Language Schools) is a non-profit organization run by volunteers located in Edmonton Alberta Canada and operates at the University of Alberta as a student volunteer group.,EducationalInstitution,Company,Educ
10195,Charles Rozanski (born March 11 1955) is a German-American retailer and columnist known as the President and CEO of the Denver Colorado-based Mile High Comics Inc. and a columnist for the Comics Buyer's Guide.,OfficeHolder,Artist,Office
10248,Carlos Vaz Ferreira (October 15 1872 – January 3 1958) was an Uruguayan philosopher writer and academic. Influenced by John Stuart Mill and Herbert Spencer he is notable for introducing liberal pluralistic political values and pragmatic philosophical concepts to South American society.,OfficeHolder,Artist,Office
10285,Naum Veqilharxhi born Naum Bredhi (1797-1854) was an Albanian lawyer and scholar. In 1844 he created a unique alphabet for the Albanian language using characters he had created himself the Vithkuqi script. Veqilharxhi is one of most prominent figures of the early Albanian National Awakening.,OfficeHolder,Artist,Office
10342,Edward Ed Asner (born November 15 1929) is an American film television stage and voice actor and a former president of the Screen Actors Guild.,Artist,OfficeHolder,Artist
10447,The Bulkeley School is located in New London Connecticut. The school was built in 1871 and was added to the National Register of Historic Places on August 13 1981.,EducationalInstitution,Building,Educ
10480,The Jefferson–Hemings controversy concerns the question of whether there was an intimate relationship between U.S. President Thomas Jefferson and his mixed-race slave Sally Hemings that resulted in his fathering some or all of her six recorded children.,WrittenWork,OfficeHolder,Written
10566,Mercy Gilbert Medical Center is a full-service 212-bed acute care not-for-profit hospital providing healthcare to the East Valley. Services offered include cardiovascular emergency family birth center gastroenterology pediatric and adolescent sleep center orthopedics and diagnostic services among others. The hospital is a member of Dignity Health one of the largest healthcare systems in the west with 40 hospitals in Arizona California and Nevada.,Building,Company,Building
10577,Emma Johanna Henny Emmy Göring (née Sonnemann) (24 March 1893 – 8 June 1973) was a German actress and the second wife of Luftwaffe Commander-in-Chief Hermann Göring. She served as Adolf Hitler's hostess at many state functions and thereby staked a claim to the title of First Lady of the Third Reich.,Artist,OfficeHolder,Artist
10681,Albert Whiggs Easmon (1865-21 May 1923) was a Sierra Leonean doctor and the half-brother of Dr John Farrell Easmon. Easmon was among the first group of Sierra Leoneans to qualify as a medical doctor after getting a degree from Edinburgh University. He became the leading gynaecologist in Freetown Sierra Leone and had an extensive private practice.,OfficeHolder,Artist,Office
10695,HispanicBusiness Inc. is a media company based in Goleta California in the United States of America. The firm was founded by Jesús Chavarría in 1979 and publishes business and political news stories oriented toward Hispanic professionals and entrepreneurs.The company switched to an exclusively online publishing platform in May 2012.,Company,WrittenWork,Company
10766,The American Society of Plant Taxonomists (ASPT) is a botanical organization formed in 1935 to foster encourage and promote education and research in the field of plant taxonomy to include those areas and fields of study that contribute to and bear upon taxonomy and herbaria according to its bylaws.[1] It is incorporated in the state of Wyoming and its office is at the University of Wyoming Department of Botany.The ASPT publishes a quarterly botanical journal Systematic Botany and the irregular series Systematic Botany Monographs.,WrittenWork,Company,Written
10768,The Sankey Canal which is also known as the Sankey Brook Navigation and the St Helens Canal is a canal in Cheshire extending into Merseyside in the northwest of England connecting St Helens with the River Mersey. When opened in 1757 it ran along the valley of the Sankey Brook from the point where the brook joined the River Mersey to a location to the north east of St Helens.,MeanOfTransportation,NaturalPlace,Mean
10875,Yang Zhenduo (1926- ) a native of Yongnian Hsien County Hebei was born in Beijing China into the famous Yang family of martial artists. A son of Yang Cheng Fu and a great-grandson of Yang Lu Chan (the creator of the Yang style of t'ai chi ch'uan) Yang Zhenduo is a fourth-generation descendant of the Yang Family of t'ai chi ch'uan and is the fourth lineage-holder of the style.,Artist,Athlete,Artist
11150,John Edward Bruce also known as Bruce Grit or J. E. Bruce-Grit (February 22 1856 – August 7 1924) born a slave in Maryland United States became a journalist historian writer orator civil rights activist and Pan-African nationalist. He founded newspapers in Washington DC and Norfolk Virginia as well as co-founding the Negro Society for Historical Research in New York.,OfficeHolder,Artist,Office
11177,The University of Information Science (Spanish: Universidad de las Ciencias Informáticas; UCI also known as the University of Information Sciences and University of Informatics Sciences) is a university research center based in Havana Cuba in the municipality of Boyeros. Born as a project of the Cuban Revolution called the Future Project which has two objectives: to computerize the country and develop the software industry to contribute to economic development the same.,EducationalInstitution,Company,Educ
11188,Major Frank Robinson was an ice hockey executive and soldier. He was an owner of the Toronto Blueshirts ice hockey team and later president of the National Hockey Association (NHA) predecessor organization of the National Hockey League (NHL).,Athlete,OfficeHolder,Ath
11281,The Regional Institute of Ophthalmology and Government Ophthalmic Hospital (commonly called the Egmore Eye Hospital) Chennai is the oldest eye hospital in the Indian subcontinent and in Asia.,Building,EducationalInstitution,Building
11309,Lutz Tavern is a bar in the Woodstock neighborhood of Portland Oregon in the United States.,Building,Company,Building
11512,Revilo Pendleton Oliver (July 7 1908 – August 20 1994) was an American professor of Classical philology Spanish and Italian at the University of Illinois at Urbana-Champaign who wrote and polemicized extensively for white nationalist causes.Oliver also briefly received national notoriety in the 1960s when he published an article following the John F.,OfficeHolder,Artist,Office
11674,William Boyd Allison Davis (October 14 1902 – November 21 1983) was an educator anthropologist writer researcher and scholar. He was considered one of the most promising black scholars of his generation and became the first African-American to hold a full faculty position at a major white university when he joined the staff of the University of Chicago in 1942 where he would spend the balance of his academic life.,OfficeHolder,Artist,Office
11705,Ed Krol was the network manager at the National Center for Supercomputing Applications and the former assistant director of Campus Information Technologies and Educational Services (CITES) at the University of Illinois at Urbana-Champaign. He is also the author of The Hitchhiker's Guide to the Internet and The Whole Internet User's Guide and Catalog.,OfficeHolder,Artist,Office
11732,Tri-Rivers Educational Computer Association (TRECA) serves a consortium of local school districts across the State of Ohio providing technology and educational support. TRECA is classified as an Information Technology Center (or ITC). TRECA provides services in the areas of student information systems state reporting fiscal services instructional services professional development training and information technology support.,EducationalInstitution,Company,Educ
11827,Mobile Suit Gundam: Char's Counterattack (機動戦士ガンダム 逆襲のシャア Kidō Senshi Gandamu: Gyakushū no Shā) is a 1988 anime film set in Gundam's Universal Century timeline of Gundam specifically U.C.,Film,WrittenWork,Film
11839,The John A. Lynch was a ferryboat built in 1925 in Mariners Harbor Staten Island. It was named after NJ politician John A. Lynch Sr. by NYC Mayor Hylan as were 15 other ferryboats built at the same time. It was renamed first as the Harlam then the Major General William H. Hart in 1940 when it was sold to the Army and assigned to Governors Island. In 1968 it was donated to the South Street Seaport Museum and used as a school boat until 1990 when it was sold to Mystic Seaport.,MeanOfTransportation,Building,Mean
11871,Elf is a racing yacht built in 1888 by George Lawley & Son of South Boston Massachusetts for William H. Wilkinson. She was designed by George F. Lawley and is the oldest small yacht in the United States. She is located at Fredericktown Cecil County Maryland.She was listed on the National Register of Historic Places on March 26 1980.,MeanOfTransportation,Building,Mean
11955,The Chicago Swordplay Guild is a modern school of swordsmanship and Western martial arts and non-profit organization based in Chicago IL USA. It provides organized instruction in the serious study and practice of historical European swordplay with a principal focus on the Italian school of swordsmanship and other martial arts of the 14th–17th centuries.,WrittenWork,Company,Written
12048,Purandar fort (also called Purandhar fort) पुरंदर किल्ला (in Marathi) figures repeatedly in the rising of Shivaji against the Bijapur kingdom and the Mughals. Purandhar fort stands 4472 ft. above the sea (1387 m) in the Western Ghats 20 miles southeast of Pune. It actually consists of two forts - Purandar and Vajragad (or Rudramal). The latter is the smaller of the two and is on the eastern side of the main fort. The village Purandar takes its name from this fort.,Building,NaturalPlace,Building
12059,Red 7 was a short-lived rock group formed in 1984 in San Francisco California as a side project of British musician Mike Rutherford (Genesis Mike + the Mechanics). Rutherford produced their first album played bass on several songs and also sang in the choir on one song The Way. The three core members were Michael Becker Gene Stashuk and Paul Revelli. Don Gehmann mixed the single Relentless from the first CD David Tickle was the engineer.Red 7 recorded two albums.,Artist,Album,Artist
12245,The International Mycological Institute was a non-profit organization based in England that undertook research and disseminated information on fungi particularly plant pathogenic species causing crop diseases. It was established as the Imperial Bureau of Mycology at Kew in 1920 and amalgamated with CAB International in 1998.,Company,EducationalInstitution,Company
12249,Salad of a Thousand Delights is a home video by the Melvins which was released in 1992 through Box Dog Video. Recorded live at the North Shore Surf Club Olympia Washington May 16 1991. The video was rereleased on DVD (90 mins) in 2003.,Film,Album,Film
12315,Hayashi Hōkō (林 鳳岡 January 11 1644 – July 22 1732) also known as Hayashi Nobutatsu was a Japanese Neo-Confucian scholar teacher and administrator in the system of higher education maintained by the Tokugawa bakufu during the Edo period.,OfficeHolder,Artist,Office
12487,Wesley Korir (born 15 November 1982 in Kitale Trans-Nzoia District) is a Kenyan elected Member of Parliament for Cherangany Constituency (4 March 2013 elections) and a long distance runner who specializes in road running competitions. On 16 April 2012 he won the Boston Marathon with a time of 2 hours 12 minutes 40 seconds. He had previously won the Los Angeles Marathon in 2009 and 2010 the first back-to-back winner there in eight years.,Athlete,OfficeHolder,Ath
12577,Vellayani is a suburb of Thiruvananthapuram the capital city of Kerala India.,Unknown,Village,Location
12591,Elliot Goldenthal's score for Michael Collins was nominated for an Academy Award for Best Original Dramatic Score.Sinéad O'Connor and the late Irish tenor Frank Patterson both contributed to the soundtrack.,Film,Album,Film
12653,Diddy Kong Racing is a 1997 racing game for the Nintendo 64 developed by Rareware. 800000 copies were ordered in the two weeks before Christmas 1997 making it the fastest selling video game at the time according to the Guinness Book of World Records. It was the first game to spin off from the Donkey Kong Country series and stands as the Nintendo 64's sixth best-selling game.A racing game like Mario Kart 64 Diddy Kong Racing also has a distinctive adventure mode.,WrittenWork,Album,Written
12670,Rajiv Malhotra (born September 15 1950) is an Indian-American entrepreneur who after a career in the computer and telecom industries took early retirement in 1995 to found The Infinity Foundation through which he has promoted philanthropic and educational activities in the area of Hinduism studies.,OfficeHolder,Artist,Office
12688,Laufer was a rock band from Rijeka Croatia that was active between 1986 and 1996. They were briefly active again after 2003.They released two albums in 1994 The Best Off... under the minor label Corona and Pustinje (Deserts) under Croatia Records. In 2004 the former label released a compilation album Epitaf (Epitaph). The album The Best Off... was released again in 2010 by Dallas Records.,Artist,Album,Artist
12979,Actinidia /ˌæktɨˈnɪdiə/ is a genus of woody and with few exceptions dioecious plants native to temperate eastern Asia occurring throughout most of China Taiwan Korea and Japan and extending north to southeast Siberia and south into Indochina. The genus includes shrubs growing to 6 m (20 ft) tall and vigorous strong-growing vines growing up to 30 m (98 ft) in tree canopies.,Plant,Animal,Plant
13210,Roar Adler (4 September 1915 – 25 January 2007) was a Norwegian newspaper manager.Representing the sports club IK Tjalve he was a deputy board member of the Norwegian Athletics Association in 1953. In the 1950s he became a manager in the newspaper Arbeiderbladet. In 1959 he became a board member of Norske Avisers Landsforening since a 1992 merger known as the Norwegian Media Businesses' Association He served as deputy chairman from 1968 to 1970 and chairman from 1970 to 1972.,OfficeHolder,Artist,Office
13339,Ralph David Foster (April 25 1893–August 11 1984) was an American broadcasting pioneer and philanthropist who created the framework for Springfield Missouri to challenge Nashville Tennessee as the nation's country music capital during the 1950s. His KWTO was a stepping-stone for many top country artists; and with his music businesses led to creation of Ozark Jubilee the first U.S. network television program to feature country's top stars.,OfficeHolder,Artist,Office
13402,Wayne James Bennett AM (born 1 January 1950) is an Australian professional rugby league football coach and former player who is the current head coach for the Newcastle Knights of the NRL. An Australian international and Queensland interstate representative winger or fullback of the 1970s he also worked as a Queensland Police officer before becoming a Brisbane Rugby League premiership-winning coach and in the 1980s earned selection as Queensland's State of Origin coach.,OfficeHolder,Athlete,Office
13422,Qbic Hotels is a design hotel branch by the La Bergère Group. The first hotel opened in the WTC in Amsterdam's Zuidas district the financial business centre of Amsterdam. In October 2013 Qbic opened a second hotelQbic London City in Whitechapel London.,Company,Building,Company
13472,FL Goodwin was an American aircraft manufacturer that was based in Phoenix Arizona. The company specialized in the design and manufacturer of powered parachutes.The company introduced its first model the Goodwin Tri-Moto in 1997 a unique design of powered parachute carriage that can be folded up to stow on top of a recreational vehicle in a small pick-up truck or even in a small boat.,MeanOfTransportation,Company,Mean
13514,Nazaret Daghavarian (Chaderjian 1862 Sebastia - 1915) was an Armenian doctor agronomist and public activist one of the founders of Armenian General Benevolent Union (AGBU).He studied in the colleges of Istanbul then finished the university of Paris. He was the chief director of the Armenian schools of Sebastia province then directed the Aramian school and St Savior hospital in Constantinople.,OfficeHolder,Artist,Office
13649,The Factory was the name of Andy Warhol's New York City studio which had three different locations between 1962 and 1984. The original Factory was on the fifth floor at 231 East 47th Street in Midtown Manhattan. The rent was only about one hundred dollars a year.[citation needed] Warhol left in 1968 when the building was scheduled to be torn down to make way for an apartment building.,Building,Company,Building
14081,James Herries Beattie (6 June 1881–11 May 1972) was a New Zealand bookkeeper journalist historian ethnologist and bookseller. He was born in Gore Southland New Zealand on 6 June 1881.,OfficeHolder,Artist,Office
14157,Alien Voices was a project set up by John de Lancie and Leonard Nimoy which specialised in audiobooks of science fiction novels in the style of radio plays. The productions were distributed by Simon & Schuster Audio but the project was shut down following pressure from the distributor for greater sales and the dissatisfaction of de Lancie and Nimoy at this direction. The productions featured a number of cast members from the various Star Trek series.,WrittenWork,Company,Written
14181,Sir Sidney Poitier KBE (/ˈpwɑːtjeɪ/ or /ˈpwɑːti.eɪ/; born February 20 1927) is a Bahamian-American actor film director author and diplomat.In 1964 Poitier became the first black person to win an Academy Award for Best Actor for his role in Lilies of the Field.,Artist,OfficeHolder,Artist
14190,Port Kembla is a man-made cargo port or artificial harbour with an outer harbour protected by breakwaters and an inner harbour constructed by dredging located in the Illawarra region of New South Wales Australia.Activities within the port are managed by the Port Kembla Port Corporation.,MeanOfTransportation,NaturalPlace,Mean
14379,The Biblical Archaeology Society is a non-denominational organization that supports and promotes biblical archaeology. It publishes Biblical Archaeology Review. Its past publications included Bible Review (1985–2005) and Archaeology Odyssey (1998–2006). The Biblical Archaeology Society also publishes books about biblical archaeology aimed at a general readership.,WrittenWork,Company,Written
14434,He was born in Asunción Paraguay on March 27 1950. Son of Carmen Emategui and Rodolfo Barreto.,OfficeHolder,Artist,Office
14485,Revue de Paris was a French literary magazine founded in 1829 by Louis Desiré Veron.It ceased to be published in 1970.,WrittenWork,Company,Written
14558,Canadiana.org formerly the Canadian Institute for Historical Microreproductions is a non-profit and charitable organization dedicated to preserving Canada's heritage and making it accessible online.,Company,EducationalInstitution,Company
14627,Cosmo Police Justy (Cosmo Police ジャスティ Kosumo Porīsu Jasuti) is a science fiction anime OVA released on July 20 1985 in Japan. The anime is based on a manga by Tsuguo Okazaki which ran in Shōnen Sunday Super. The OVA was released as a double feature with the Area 88 film.The story follows Justy Kaizard a police officer who chases down criminal espers; his tactics might be similar to those of a bounty hunter but he is a salary-drawing officer. Justy is also an esper with remarkable powers.,Film,WrittenWork,Film
14646,Not to be confused with Woodland fairy.The Woodland Ferry is a cable ferry located in western Sussex County Delaware spanning the Nanticoke River west of the city of Seaford at Woodland Delaware. The ferry is currently operated by the Delaware Department of Transportation and operates year-round. The ferry is closed on Christmas Thanksgiving and New Year's Day and also as required by weather.,MeanOfTransportation,Building,Mean
14760,The Christmas Raccoons is the first of four television specials before the main animated television series succeeding it The Raccoons took place. It was first broadcast in syndication on December 17 1980. The story takes place in the Evergreen Forest home of the forest ranger Dan his children Tommy and Julie and their pet sheepdog Schaeffer.,WrittenWork,Film,Written
14792,Fort Pillow State Park is a state park in western Tennessee that preserves the American Civil War site of the Battle of Fort Pillow. The 1642 acre (6.6 km²) Fort Pillow located in Lauderdale County on the Chickasaw Bluffs overlooking the Mississippi River is rich in both historic and archaeological significance.,NaturalPlace,Building,Natural
14900,Krstarica (English: Cruiser) is one of the most visited web portals in Serbia. It was founded in March 1999.Includes search engine up-to-date daily news from Serbia directory of the local sites grouped by the topics and variety of content.Krstarica has 1.6 million visitors per month.,WrittenWork,Company,Written
14923,Pamela Palmater (born 1970) is a Mi'kmaq lawyer professor activist and politician from Mi'kma'ki New Brunswick Canada. A frequent media political commentator she appears for Aboriginal Peoples Television Network's InFocus CTV and CBC. She is an associate professor and the academic director of the Centre for Indigenous Governance at Ryerson University.,OfficeHolder,Artist,Office
14935,Sean Theriault is an associate professor in the Department of Government at the University of Texas Austin. He specializes in American politics with particular interests focusing on the U.S. Congress American political development and political history. He is a 2004 winner of the Eyes of Texas Excellence Award.Theriault has published articles on presidential rhetoric congressional careers issue framing the Compromise of 1850 and public approval of Congress.,OfficeHolder,Artist,Office
14953,Moses Powell (1941–2005) also known as Master Musa Muhammad was an American pioneer of martial arts in the United States. He was born in Norfolk Virginia. He held the rank of 10th degree black belt and was famous for his one finger forward roll. Moses Powell was the first martial artist invited to perform a demonstration in front of the United Nations. One of the first African Americans to instruct the DEA FBI and the Secret Service in martial arts.,Artist,Athlete,Artist
14954,Axel Christian Zetlitz Sømme (1899 – 1991) was a Norwegian geographer political activist magazine editor and newspaper editor.He was born in Stavanger. As a student he was politically active in the Mot Dag movement and edited the magazine Mot Dag in 1921. He was the first editor of the newspaper Rjukan Arbeiderblad.,OfficeHolder,Artist,Office
14978,Legend Fighting Championship (Legend FC) was a Hong Kong-based mixed martial arts (MMA) organization which invited national champion fighters from throughout the Asia-Pacific to compete for regional supremacy. Legend was unique among MMA tournaments in that it focused exclusively on native Asia-Pacific fighters. The company was dissovlved in 2013.,Athlete,Company,Ath
15088,Ranik Ultimate Fighting Federation (RUFF) is the first Chinese mixed martial arts (MMA) organization sanctioned by the General Administration of Sport of China. The winners of the title fights will be crowned as the national MMA champions of China in their respective weight classes. RUFF held its first event in August 2011 in Shanghai before presenting in Chongqing Hohhot Nanjing and Sanya.,Athlete,Company,Ath
15196,Russo-Balt (sometimes Russobalt or Russo-Baltique) was one of the first Russian companies that produced cars between 1909 and 1923.,MeanOfTransportation,Company,Mean
15516,Horizon Blue Cross Blue Shield of New Jersey headquartered in Newark New Jersey is the only licensed Blue Cross and Blue Shield Association plan in New Jersey providing health insurance coverage to over 3.2 million people throughout all of North Central and South Jersey.It is a not-for-profit[citation needed] health service corporation with a 15-member Board of Directors which governs the company for its members. There are no shareholders.,Company,Building,Company
15519,Zhao Yi (1727-1814) was a poet historian and critic during the Qing Dynasty in China. Zhao is notable for his innovative poetry his historical writings (including Notes on the Twenty-Two Dynastic Histories) and for espousing unconventional views on various aspects of Chinese dynastic history.,Artist,OfficeHolder,Artist
15590,¡Ya basta! is a phrase in Spanish roughly approximate to Enough is enough! or Enough already! in English. It has been adopted by several Latin American insurgent groups as an expression of affront towards issues that sparked the original dissent. Its adoption by the EZLN in Mexico as the movement's motto is exemplary of its popularity and ability to rally diverse ideologies under a common goal.,MeanOfTransportation,Company,Mean
15694,The Rustar dhow located in Dubai United Arab Emirates is a royal boat that can accommodate 400 passengers. At 51 metres (167 ft) it has set the world record for the largest floating restaurant.The Rustar Dhow has three levels a lower level which is used as a bar or dance floor (upon request) the middle level which is a dinner hall and the upper deck which is an open air dinner deck.Both middle and lower decks are air conditioned.,MeanOfTransportation,Company,Mean
15726,I. Newton Baker was private secretary to and biographer of Robert G. Ingersoll. He was earlier one of the editors of the American Sunday-School Times.,OfficeHolder,Artist,Office
15864,The Interislander is a road and rail ferry service across New Zealand's Cook Strait owned and operated by state-owned rail operator KiwiRail between Wellington in the North Island and Picton in the South Island. Three roll-on roll-off (RORO) vessels operate the 50 nautical miles (93 km; 58 mi) ferry route taking three hours to complete the crossing.Interislander was started in August 1962 by KiwiRail's predecessor the New Zealand Railways Department (NZR).,MeanOfTransportation,Company,Mean
15910,George Edward Ellis (8 August 1814 – 20 December 1894) was a Unitarian clergyman and historian.,OfficeHolder,Artist,Office
15958,Wintec is an Australian saddle manufacturer known for the first synthetic saddles.,Company,EducationalInstitution,Company
16003,Tokyo Zombie (東京ゾンビ Tōkyō Zonbi) is a manga written in 1999 by Yusaku Hanakuma. It was subsequently made into a 2005 Japanese film written and directed by Sakichi Sato. The films stars Tadanobu Asano Show Aikawa and Erika Okuda. The movie was released in North America UK and later Australia and New Zealand in 2009.,Film,WrittenWork,Film
16036,Kariandusi School Trust is a UK registered charity set up in 2003 for the advancement of education amongst children in rural Kenya by addressing the need for the construction of school buildings and the ongoing provision of school facilities and educational materials in and around those schools.Kariandusi School Trust is registered with the Charity Commission for England and Wales with the charity number 1101103.,EducationalInstitution,Company,Educ
16039,The San Ildefonso College currently is a museum and cultural center in Mexico City considered to be the birthplace of the Mexican muralism movement. San Ildefonso began as a prestigious Jesuit boarding school and after the Reform War it gained educational prestige again as National Preparatory School. This school and the building closed completely in 1978 then reopened as a museum and cultural center in 1992.,Building,EducationalInstitution,Building
16083,Vittorio Feltri (born 25 June 1943) is an Italian journalist and editor in chief.,OfficeHolder,Artist,Office
16114,Joseph Chen Zhonghua (陈中华) courteasy name Dongliang (栋梁) born in 1961 Shandong Province China is a Chinese martial arts practitioner teacher and author. Chen studied with two outstanding eighteenth generation Chen-style t'ai chi ch'uan (陳式太極拳) experts Hong Junsheng (洪均生; 1907 - 1996) and Feng Zhiqiang (冯志强 1928-2012). He and his family emigrated to Canada in 1985.,Artist,Athlete,Artist
16230,Block House is a restaurant chain based in Hamburg that was founded in 1968. It specializes in steaks.The chain was founded by Eugen Block and his sister Marlies Head. It currently owns 41 restaurants in Europe; 34 of which are in Germany and the others are in Switzerland Portugal and Spain. Total number of employees are 1650.,Company,Building,Company
16269,For the singer see Muhammad Shahid Nazir.,Building,Athlete,Building
16294,Indian God Rock is a large boulder in the northwestern part of the U.S. state of Pennsylvania. Located near the unincorporated community of Brandon it lies along the Allegheny River in Venango County's Rockland Township. It is significant for the large petroglyph on one of its sides. Because of the petroglyph the rock has been an explorers' landmark a tourist attraction and an object of scholarly investigation.,NaturalPlace,Building,Natural
16325,The 10th Kingdom is an American fairytale fantasy miniseries written by Simon Moore and produced by Britain's Carnival Films Germany's Babelsberg Film und Fernsehen and the USA's Hallmark Entertainment.,WrittenWork,Film,Written
16503,Inside Films is a joint effort between Intel and Toshiba that focuses on creating social films. Founded in 2011 Inside Films has produced three social films spanning three different genres: The Inside Experience (2011) Daytime Emmy and Cannes Lions award winning The Beauty Inside (2012) and The Power Inside (2013).,Company,Film,Company
16588,WOW Cafe American Grill & Wingery is a restaurant founded in 2001 by Paul Scott and Steve Ballard in Covington Louisiana. Since opening its first restaurant the franchise has expanded and opened locations all over the United States including more than 50 in 2008. The headquarters are still located in Covington. The name is an abbreviation of World of Wings.,Company,Building,Company
16639,The Mustang Ranch originally known as the Mustang Bridge Ranch is a brothel in Storey County Nevada about 15 miles (24 km) east of Reno. It is currently located at 1011 Wild Horse Canyon Dr Sparks NV 89434.Under owner Joe Conforte it became Nevada's first licensed brothel in 1971 eventually leading to the legalization of brothel prostitution in 10 of 17 counties in the state.,Building,Company,Building
16843,Conception Abbey is a monastery of the Swiss-American Congregation of the Benedictine Confederation. The monastery founded by the Swiss Engelberg Abbey in 1873 in northwest Missouri's Nodaway County was raised to a conventual priory in 1876 and elevated to an abbey in 1881. At present the community numbers sixty-five monks who celebrate the Eucharist and Liturgy of the Hours daily and who staff and administer Conception Seminary College the Printery House and the Abbey Guest Center.,Building,EducationalInstitution,Building
16849,The Lowell Museum located in Lowell Massachusetts was founded by Moses Kimball in 1840 as an art exhibit hall and entertainment venue.,Building,OfficeHolder,Building
16876,John William Jack Collins (September 23 1912 – December 2 2001) was an American chess master author and teacher.,Artist,Athlete,Artist
16964,Randall K.,Artist,EducationalInstitution,Artist
16995,The London Metal Exchange (LME) is the futures exchange with the world's largest market in options and futures contracts on base and other metals. As the LME offers contracts with daily expiry dates of up to three months from trade date along with longer-dated contracts up to 123 months it also allows for cash trading. It offers hedging worldwide reference pricing and the option of physical delivery to settle contracts.,Company,Plant,Company
17056,Peaches Does Herself is an electro rock opera stage show that tells a mythical history of the musician Peaches. Peaches Does Herself follows the musician Peaches through her journey from bedroom wannabe musician to Rockstar. Through a selection of songs from Peaches 4 official albums a mythical biography is told based on the misconceptions surrounding Peaches image. On the advice of a 65-year-old stripper Peaches makes music that is sexually forthright.,WrittenWork,Film,Written
17105,The International Students of History Association (ISHA) is an international non-governmental organization of students of history.,WrittenWork,Company,Written
17174,The National Association of Official Prison Visitors (NAOPV) promotes and helps to maintain the work of United Kingdom Official Prison Visitors.,OfficeHolder,Company,Office
17193,Sir David Emrys Evans (1891 – 20 February 1966) was a Welsh classicist and university principal.,OfficeHolder,Artist,Office
17230,Template:Use my dates,Building,OfficeHolder,Building
17236,Henry Drisler (27 December 1818 – 30 November 1897) was an American classical scholar.,OfficeHolder,Artist,Office
17417,John Punchard Jewett (1814-1884) was a Boston publisher best known for first publishing Uncle Tom's Cabin in book form in 1852.Jewett started a business in Boston publishing textbooks and religious textbooks in 1846. He also began to publish anti-slavery pieces. By 1851 he had also moved into fiction publishing The Sunny Side by Elizabeth Stuart Phelps (the mother of Elizabeth Stuart Phelps Ward).,Artist,Company,Artist
17424,The Government of the Democratic Republic of the Congo is the second institution in the central executive branch of the Democratic Republic of the Congo the first institution being the President of the Democratic Republic of the Congo who has the title of head of state.,OfficeHolder,Company,Office
